id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,year,magnitude_category
248,2001-06-21 03:50:00,Garrelsweer,53.295,6.8,3.0,1.7,1.0,2001,1
249,2001-08-07 17:09:00,Veendam,53.097,6.845,3.0,0.3,,2001,0
250,2001-09-09 06:58:00,Bergen,52.651,4.713,2.0,3.5,,2001,3
251,2001-09-10 04:30:00,Bergen,52.653,4.712,2.0,3.2,,2001,3
252,2001-10-10 06:41:00,Schoorl,52.682,4.648,2.9,2.7,,2001,2
253,2001-10-10 14:06:00,Slochteren,53.239,6.763,3.0,1.0,1.0,2001,1
254,2001-10-10 14:06:00,Slochteren,53.24,6.763,3.0,0.8,1.0,2001,0
255,2001-11-12 14:33:00,Waddenzee (nabij Dornum),53.694,7.377,3.0,1.4,,2001,1
256,2001-12-04 19:08:00,Froombosch,53.204,6.785,3.0,0.2,1.0,2001,0
257,2001-12-04 19:08:00,Froombosch,53.204,6.785,3.0,0.0,1.0,2001,0
258,2001-12-04 22:33:00,Froombosch,53.21,6.743,3.0,1.0,1.0,2001,1
259,2001-12-11 15:17:00,Slochteren,53.217,6.788,3.0,0.7,1.0,2001,0
260,2001-12-20 01:25:00,Wildervank,53.081,6.838,3.0,0.5,,2001,0
261,2001-12-25 23:28:00,Uithuizen,53.397,6.682,3.0,1.1,1.0,2001,1
262,2001-12-26 12:36:00,Eexterveen,53.056,6.805,3.0,-0.2,,2001,0
263,2002-02-05 10:30:00,Stedum,53.319,6.717,3.0,2.2,1.0,2002,2
264,2002-02-14 17:01:00,Roswinkel,52.831,7.035,2.0,2.1,,2002,2
265,2002-02-27 03:52:00,Oosterwijtwerd,53.337,6.827,3.0,1.1,1.0,2002,1
266,2002-03-17 02:16:00,Donderen,53.093,6.543,3.0,0.4,,2002,0
267,2002-04-14 01:11:00,Nieuw Annerveen,53.072,6.787,3.0,1.7,,2002,1
268,2002-05-10 10:33:00,Bierum,53.378,6.857,3.0,1.7,1.0,2002,1
269,2002-05-11 10:07:00,Ekehaar,52.943,6.58,3.0,1.5,,2002,1
270,2002-05-22 13:38:00,Eleveld,52.956,6.585,3.0,1.0,,2002,1
271,2002-06-28 03:06:00,Smilde,52.968,6.45,3.0,1.8,,2002,1
272,2002-07-18 05:31:00,Froombosch,53.188,6.783,3.0,1.6,1.0,2002,1
273,2002-07-27 15:01:00,Geelbroek,52.947,6.565,3.0,1.6,,2002,1
274,2002-08-05 19:28:00,Gasteren,53.055,6.657,3.0,0.9,,2002,0
275,2002-08-29 21:13:00,Luddeweer,53.247,6.747,3.0,0.0,1.0,2002,0
276,2002-09-05 00:00:00,Beerze,52.508,6.563,3.0,0.9,,2002,0
277,2002-09-06 06:07:00,Borgercompagnie,53.112,6.842,3.0,0.6,,2002,0
278,2002-09-22 07:13:00,Schipborg,53.056,6.68,3.0,0.6,,2002,0
279,2002-09-22 07:30:00,Taarlo,53.035,6.638,3.0,0.5,,2002,0
280,2002-10-12 02:32:00,Borgercompagnie,53.106,6.815,3.0,0.9,,2002,0
281,2002-10-14 23:45:00,Roswinkel,52.834,7.045,2.0,0.9,,2002,0
282,2002-10-19 18:03:00,Nieuw Annerveen,53.068,6.768,1.8,1.3,,2002,1
283,2002-12-14 00:13:00,Dalerveen,52.676,6.832,3.0,1.4,,2002,1
284,2002-12-16 12:23:00,Zuidlaren,53.092,6.718,3.0,1.4,,2002,1
285,2002-12-17 00:23:00,Tjuchem,53.291,6.86,3.0,0.9,1.0,2002,0
286,2002-12-18 20:31:00,Zuidbroek,53.175,6.847,3.0,0.8,1.0,2002,0
287,2002-12-24 02:57:00,Roswinkel,52.833,7.042,2.0,1.4,,2002,1
288,2003-01-01 19:16:00,Loppersum,53.337,6.743,3.0,1.0,1.0,2003,1
